PR094  Photo-prod          07/09 Arndt  06/19/14
 241   3.59345405E-01  0.13607         0.01207       
 242   3.28042407E-01  0.12844         0.01188       
 243   2.96874931E-01  0.12819         0.01246       
! 2125.000  17  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 244   7.96846379E-01  0.98875         0.09685       
 245   7.6559551E-01   0.75834         0.0685        
 246   7.34322513E-01  0.69136         0.0601        
 247   7.03146548E-01  0.59944         0.05153       
 248   6.71849879E-01  0.49267         0.04158       
 249   6.40645912E-01  0.40818         0.03427       
 250   6.09315151E-01  0.33554         0.02808       
 251   5.78142481E-01  0.25623         0.02183       
 252   5.46832807E-01  0.24958         0.02107       
 253   5.15636372E-01  0.19836         0.01696       
 254   4.84351611E-01  0.19051         0.01628       
 255   4.53057199E-01  0.17506         0.01502       
 256   4.21827206E-01  0.18384         0.0157        
 257   3.90570472E-01  0.17442         0.01514       
 258   3.59345405E-01  0.15705         0.01408       
 259   3.28207277E-01  0.14792         0.01391       
 260   2.96874931E-01  0.13154         0.01328       
! 2175.000  17  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 261   7.96846379E-01  0.77172         0.07715       
 262   7.6559551E-01   0.5929          0.05447       
 263   7.34322513E-01  0.47914         0.04257       
 264   7.03146548E-01  0.40905         0.03586       
 265   6.71849879E-01  0.36432         0.03106       
 266   6.40645912E-01  0.31312         0.02642       
 267   6.09315151E-01  0.25793         0.02186       
 268   5.78142481E-01  0.19033         0.01638       
 269   5.46832807E-01  0.16499         0.01429       
 270   5.15636372E-01  0.18547         0.01566       
 271   4.84351611E-01  0.16521         0.01402       
 272   4.53057199E-01  0.16587         0.01396       
 273   4.21827206E-01  0.14778         0.01255       
 274   3.90570472E-01  0.14077         0.01212       
 275   3.59345405E-01  0.12481         0.01114       
 276   3.28042407E-01  0.10761         0.01017       
 277   2.96874931E-01  0.12433         0.01203       
! 2225.000  18  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 278   7.96846379E-01  0.62997         0.0637        
 279   7.6559551E-01   0.59452         0.05454       
 280   7.34322513E-01  0.43364         0.03913       
 281   7.03146548E-01  0.35145         0.03127       
 282   6.71849879E-01  0.31648         0.02749       
 283   6.40645912E-01  0.28559         0.02429       
 284   6.09315151E-01  0.23659         0.02018       
 285   5.78142481E-01  0.17934         0.01556       
 286   5.46832807E-01  0.16937         0.01462       
 287   5.15636372E-01  0.1676          0.01433       
 288   4.84351611E-01  0.16964         0.0143        
 289   4.53057199E-01  0.17245         0.01448       
 290   4.21827206E-01  0.14534         0.01235       
 291   3.90570472E-01  0.15309         0.01302       
 292   3.59345405E-01  0.13325         0.01166       
 293   3.28042407E-01  0.11385         0.01038       
 294   2.96874931E-01  0.11629         0.01114       
 295   2.65556127E-01  0.10953         0.01118       
! 2275.000  18  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 296   7.96846379E-01  0.6681          0.07066       
 297   7.6559551E-01   0.57459         0.05572       
 298   7.34322513E-01  0.45822         0.04316       
 299   7.03146548E-01  0.36657         0.03425       
 300   6.71849879E-01  0.33333         0.02995       
 301   6.40645912E-01  0.29366         0.02592       
 302   6.09315151E-01  0.22661         0.02021       
 303   5.78142481E-01  0.21223         0.01878       
 304   5.46832807E-01  0.18767         0.01662       
 305   5.15636372E-01  0.20217         0.01752       
 306   4.84351611E-01  0.18699         0.01615       
 307   4.53057199E-01  0.19419         0.01662       
 308   4.21827206E-01  0.18311         0.0157        
 309   3.90570472E-01  0.17057         0.01489       
 310   3.59345405E-01  0.13808         0.0125        
 311   3.28207277E-01  0.12577         0.01186       
 312   2.96874931E-01  0.12303         0.01214       
 313   2.65556127E-01  0.1254          0.01294       
! 2325.000  19  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 314   8.28158175E-01  0.58784         0.07667       
 315   7.96846379E-01  0.53135         0.05893       
 316   7.6559551E-01   0.51781         0.05057       
 317   7.34322513E-01  0.36174         0.03506       
 318   7.03146548E-01  0.33175         0.03072       
 319   6.71849879E-01  0.28304         0.02539       
 320   6.40645912E-01  0.23364         0.02105       
 321   6.09315151E-01  0.20738         0.01852       
 322   5.78142481E-01  0.18923         0.01677       
 323   5.46832807E-01  0.19446         0.01695       
 324   5.15636372E-01  0.1887          0.0163        
 325   4.84351611E-01  0.2008          0.01708       
 326   4.53057199E-01  0.20091         0.01701       
 327   4.21827206E-01  0.1828          0.01556       
 328   3.90570472E-01  0.15666         0.01361       
 329   3.59345405E-01  0.13701         0.01213       
 330   3.28207277E-01  0.12547         0.01145       
 331   2.96874931E-01  0.11195         0.01074       
 332   2.65556127E-01  0.09921         0.01051       
! 2375.000  19  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 333   8.28158175E-01  0.54816         0.07313       
 334   7.96846379E-01  0.50827         0.0546        
 335   7.6559551E-01   0.42151         0.04309       
 336   7.34322513E-01  0.3699          0.03622       
 337   7.03146548E-01  0.30688         0.02952       
 338   6.71849879E-01  0.288           0.0263        
 339   6.40645912E-01  0.23913         0.02177       
 340   6.09315151E-01  0.2034          0.01851       
 341   5.78142481E-01  0.20804         0.01852       
 342   5.46832807E-01  0.18936         0.01671       
 343   5.15636372E-01  0.2009          0.01746       
 344   4.84351611E-01  0.21859         0.01866       
 345   4.53057199E-01  0.19935         0.01707       
 346   4.21827206E-01  0.19172         0.01644       
 347   3.90570472E-01  0.17061         0.01479       
 348   3.59345405E-01  0.14446         0.01282       
 349   3.28207277E-01  0.11963         0.01107       
 350   2.96874931E-01  0.12327         0.01175       
 351   2.65556127E-01  0.10146         0.01059       
! 2425.000  19  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 352   8.28158175E-01  0.52134         0.06967       
 353   7.96846379E-01  0.57662         0.06355       
 354   7.6559551E-01   0.40189         0.04226       
 355   7.34322513E-01  0.26977         0.02768       
 356   7.03146548E-01  0.29135         0.02862       
 357   6.71849879E-01  0.26113         0.02427       
 358   6.40645912E-01  0.2395          0.02188       
 359   6.09315151E-01  0.19333         0.01781       
 360   5.78142481E-01  0.20385         0.0184        
 361   5.46832807E-01  0.18102         0.0162        
 362   5.15636372E-01  0.20576         0.01798       
 363   4.84351611E-01  0.21344         0.01834       
 364   4.53057199E-01  0.21131         0.01811       
 365   4.21827206E-01  0.19826         0.017         
 366   3.90570472E-01  0.16537         0.01448       
 367   3.59345405E-01  0.1354          0.01213       
 368   3.28207277E-01  0.13092         0.01195       
 369   2.96874931E-01  0.12159         0.01153       
 370   2.65556127E-01  0.1144          0.01137       
! 2475.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 371   8.28158175E-01  0.31834         0.05445
 372   7.96846379E-01  0.40108         0.04875
 373   7.6559551E-01   0.31113         0.03449
 374   7.34322513E-01  0.26149         0.02783
 375   7.03146548E-01  0.23201         0.02371
 376   6.71849879E-01  0.211           0.02092
 377   6.40645912E-01  0.2             0.01914
 378   6.09315151E-01  0.16533         0.01588
 379   5.78142481E-01  0.1666          0.01555
 380   5.46832807E-01  0.17407         0.01591
 381   5.15636372E-01  0.20707         0.0183
 382   4.84351611E-01  0.18902         0.01662
 383   4.53057199E-01  0.19549         0.01698
 384   4.21827206E-01  0.18068         0.01584
 385   3.90570472E-01  0.15498         0.01379
 386   3.59345405E-01  0.13703         0.01241
 387   3.28042407E-01  0.12673         0.01171
 388   2.96874931E-01  0.11387         0.01098
 389   2.65556127E-01  0.09234         0.00962
 390   2.34463509E-01  0.07847         0.00922
! 2525.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 391   8.28158175E-01  0.53185         0.07178       
 392   7.96846379E-01  0.36856         0.04347       
 393   7.6559551E-01   0.27536         0.03114       
 394   7.34322513E-01  0.26755         0.02791       
 395   7.03146548E-01  0.20333         0.02127       
 396   6.71849879E-01  0.23605         0.02261       
 397   6.40645912E-01  0.21246         0.01995       
 398   6.09315151E-01  0.19154         0.01787       
 399   5.78142481E-01  0.15966         0.01488       
 400   5.46832807E-01  0.18926         0.01693       
 401   5.15636372E-01  0.20313         0.01787       
 402   4.84351611E-01  0.21882         0.01891       
 403   4.53057199E-01  0.20334         0.01763       
 404   4.21827206E-01  0.1943          0.01688       
 405   3.90570472E-01  0.17379         0.01513       
 406   3.59345405E-01  0.13867         0.01246       
 407   3.28042407E-01  0.13174         0.01193       
 408   2.96874931E-01  0.11098         0.01053       
 409   2.65556127E-01  0.09985         0.00994       
 410   2.34463509E-01  0.07984         0.00887       
! 2575.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 411   8.28158175E-01  0.38062         0.06621       
 412   7.96846379E-01  0.35302         0.04601       
 413   7.6559551E-01   0.25497         0.0323        
 414   7.34322513E-01  0.17027         0.02216       
 415   7.03146548E-01  0.20167         0.0232        
 416   6.71849879E-01  0.19012         0.02034       
 417   6.40645912E-01  0.19612         0.02024       
 418   6.09315151E-01  0.18524         0.01844       
 419   5.78142481E-01  0.16666         0.0165        
 420   5.46832807E-01  0.20573         0.01938       
 421   5.15636372E-01  0.20977         0.01942       
 422   4.84351611E-01  0.21743         0.01963       
 423   4.53057199E-01  0.20323         0.01845       
 424   4.21827206E-01  0.20219         0.01819       
 425   3.90570472E-01  0.16702         0.01535       
 426   3.59345405E-01  0.13607         0.01292       
 427   3.28207277E-01  0.11743         0.01149       
 428   2.96874931E-01  0.11375         0.01134       
 429   2.65556127E-01  0.10532         0.01115       
 430   2.34463509E-01  0.07991         0.00975       
! 2625.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 431   8.28158175E-01  0.33133         0.05791       
 432   7.96846379E-01  0.29869         0.04315       
 433   7.6559551E-01   0.1715          0.02454       
 434   7.34322513E-01  0.19615         0.02429       
 435   7.03146548E-01  0.20624         0.02344       
 436   6.71849879E-01  0.20347         0.02144       
 437   6.40645912E-01  0.16587         0.01761       
 438   6.09315151E-01  0.17383         0.01753       
 439   5.78142481E-01  0.17326         0.01699       
 440   5.46832807E-01  0.19289         0.01833       
 441   5.15636372E-01  0.21338         0.01967       
 442   4.84351611E-01  0.22833         0.02069       
 443   4.53057199E-01  0.1971          0.01794       
 444   4.21827206E-01  0.19046         0.01735       
 445   3.90570472E-01  0.15961         0.0148        
 446   3.59345405E-01  0.1274          0.0122        
 447   3.28207277E-01  0.11302         0.01106       
 448   2.96874931E-01  0.09707         0.00991       
 449   2.65556127E-01  0.08015         0.00882       
 450   2.34463509E-01  0.07191         0.00868       
! 2675.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 451   7.96846379E-01  0.31494         0.04197       
 452   7.6559551E-01   0.153           0.02196       
 453   7.34322513E-01  0.16573         0.02123       
 454   7.03146548E-01  0.17722         0.02078       
 455   6.71849879E-01  0.16775         0.01816       
 456   6.40645912E-01  0.15632         0.0166        
 457   6.09315151E-01  0.14133         0.01454       
 458   5.78142481E-01  0.16541         0.01618       
 459   5.46832807E-01  0.2067          0.01925       
 460   5.15636372E-01  0.21003         0.01929       
 461   4.84351611E-01  0.19763         0.01805       
 462   4.53057199E-01  0.19592         0.01778       
 463   4.21827206E-01  0.18731         0.01704       
 464   3.90570472E-01  0.13756         0.01289       
 465   3.59345405E-01  0.13401         0.01262       
 466   3.28207277E-01  0.114           0.01097       
 467   2.96874931E-01  0.10113         0.01004       
 468   2.65556127E-01  0.08291         0.00885       
 469   2.34463509E-01  0.06652         0.00791       
 470   2.03129107E-01  0.03889         0.00605       
! 2725.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
! KUNKEL, PC 06-19-14, G12
 471   8.28158175E-01  0.32939         0.05811       
 472   7.96846379E-01  0.25402         0.03578       
 473   7.6559551E-01   0.17084         0.02326       
 474   7.34322513E-01  0.18464         0.02305       
 475   7.03146548E-01  0.18057         0.02077       
 476   6.71849879E-01  0.14809         0.01666       
 477   6.40645912E-01  0.16683         0.01733       
 478   6.09315151E-01  0.15621         0.0158        
 479   5.78142481E-01  0.17942         0.01748       
 480   5.46832807E-01  0.21567         0.02          
 481   5.15636372E-01  0.19968         0.01841       
 482   4.84351611E-01  0.2265          0.02042       
 483   4.53057199E-01  0.21176         0.01908       
 484   4.21827206E-01  0.178           0.0163        
 485   3.90570472E-01  0.16505         0.01516       
 486   3.59345405E-01  0.13479         0.0126        
