 1325.000  11  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  52.46 0.22661  0.02021  54.68 0.21223  0.01878  56.85 0.18767  0.01662
  58.96 0.20217  0.01752  61.03 0.18699  0.01615  63.06 0.19419  0.01662
  65.05 0.18311  0.01570  67.01 0.17057  0.01489  68.94 0.13808  0.01250
  70.84 0.12577  0.01186  72.73 0.12303  0.01214  74.60 0.12540  0.01294
 2325.000  19  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.58784  0.07667  37.17 0.53135  0.05893  40.04 0.51781  0.05057
  42.75 0.36174  0.03506  45.32 0.33175  0.03072  47.79 0.28304  0.02539
  50.16 0.23364  0.02105  52.46 0.20738  0.01852  54.68 0.18923  0.01677
  56.85 0.19446  0.01695  58.96 0.18870  0.01630  61.03 0.20080  0.01708
  63.06 0.20091  0.01701  65.05 0.18280  0.01556  67.01 0.15666  0.01361
  68.94 0.13701  0.01213  70.84 0.12547  0.01145  72.73 0.11195  0.01074
  74.60 0.09921  0.01051   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 2375.000  19  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.54816  0.07313  37.17 0.50827  0.05460  40.04 0.42151  0.04309
  42.75 0.36990  0.03622  45.32 0.30688  0.02952  47.79 0.28800  0.02630
  50.16 0.23913  0.02177  52.46 0.20340  0.01851  54.68 0.20804  0.01852
  56.85 0.18936  0.01671  58.96 0.20090  0.01746  61.03 0.21859  0.01866
  63.06 0.19935  0.01707  65.05 0.19172  0.01644  67.01 0.17061  0.01479
  68.94 0.14446  0.01282  70.84 0.11963  0.01107  72.73 0.12327  0.01175
  74.60 0.10146  0.01059   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 2425.000  19  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.52134  0.06967  37.17 0.57662  0.06355  40.04 0.40189  0.04226
  42.75 0.26977  0.02768  45.32 0.29135  0.02862  47.79 0.26113  0.02427
  50.16 0.23950  0.02188  52.46 0.19333  0.01781  54.68 0.20385  0.01840
  56.85 0.18102  0.01620  58.96 0.20576  0.01798  61.03 0.21344  0.01834
  63.06 0.21131  0.01811  65.05 0.19826  0.01700  67.01 0.16537  0.01448
  68.94 0.13540  0.01213  70.84 0.13092  0.01195  72.73 0.12159  0.01153
  74.60 0.11440  0.01137   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 2475.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  76.44 0.07847  0.00922  74.60 0.09234  0.00962  72.73 0.11387  0.01098
  70.85 0.12673  0.01171  68.94 0.13703  0.01241  67.01 0.15498  0.01379
  65.05 0.18068  0.01584  63.06 0.19549  0.01698  61.03 0.18902  0.01662
  58.96 0.20707  0.01830  56.85 0.17407  0.01591  54.68 0.16660  0.01555
  52.46 0.16533  0.01588  50.16 0.20000  0.01914  47.79 0.21100  0.02092
  45.32 0.23201  0.02371  42.75 0.26149  0.02783  40.04 0.31113  0.03449
  37.17 0.40108  0.04875  34.09 0.31834  0.05445   0.00 0.00000  0.00000
 2525.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.53185  0.07178  37.17 0.36856  0.04347  40.04 0.27536  0.03114
  42.75 0.26755  0.02791  45.32 0.20333  0.02127  47.79 0.23605  0.02261
  50.16 0.21246  0.01995  52.46 0.19154  0.01787  54.68 0.15966  0.01488
  56.85 0.18926  0.01693  58.96 0.20313  0.01787  61.03 0.21882  0.01891
  63.06 0.20334  0.01763  65.05 0.19430  0.01688  67.01 0.17379  0.01513
  68.94 0.13867  0.01246  70.85 0.13174  0.01193  72.73 0.11098  0.01053
  74.60 0.09985  0.00994  76.44 0.07984  0.00887   0.00 0.00000  0.00000
 2575.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.38062  0.06621  37.17 0.35302  0.04601  40.04 0.25497  0.03230
  42.75 0.17027  0.02216  45.32 0.20167  0.02320  47.79 0.19012  0.02034
  50.16 0.19612  0.02024  52.46 0.18524  0.01844  54.68 0.16666  0.01650
  56.85 0.20573  0.01938  58.96 0.20977  0.01942  61.03 0.21743  0.01963
  63.06 0.20323  0.01845  65.05 0.20219  0.01819  67.01 0.16702  0.01535
  68.94 0.13607  0.01292  70.84 0.11743  0.01149  72.73 0.11375  0.01134
  74.60 0.10532  0.01115  76.44 0.07991  0.00975   0.00 0.00000  0.00000
 2625.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.33133  0.05791  37.17 0.29869  0.04315  40.04 0.17150  0.02454
  42.75 0.19615  0.02429  45.32 0.20624  0.02344  47.79 0.20347  0.02144
  50.16 0.16587  0.01761  52.46 0.17383  0.01753  54.68 0.17326  0.01699
  56.85 0.19289  0.01833  58.96 0.21338  0.01967  61.03 0.22833  0.02069
  63.06 0.19710  0.01794  65.05 0.19046  0.01735  67.01 0.15961  0.01480
  68.94 0.12740  0.01220  70.84 0.11302  0.01106  72.73 0.09707  0.00991
  74.60 0.08015  0.00882  76.44 0.07191  0.00868   0.00 0.00000  0.00000
 2675.000  20  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  37.17 0.31494  0.04197  40.04 0.15300  0.02196  42.75 0.16573  0.02123
  45.32 0.17722  0.02078  47.79 0.16775  0.01816  50.16 0.15632  0.01660
  52.46 0.14133  0.01454  54.68 0.16541  0.01618  56.85 0.20670  0.01925
  58.96 0.21003  0.01929  61.03 0.19763  0.01805  63.06 0.19592  0.01778
  65.05 0.18731  0.01704  67.01 0.13756  0.01289  68.94 0.13401  0.01262
  70.84 0.11400  0.01097  72.73 0.10113  0.01004  74.60 0.08291  0.00885
  76.44 0.06652  0.00791  78.28 0.03889  0.00605   0.00 0.00000  0.00000
 2725.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.32939  0.05811  37.17 0.25402  0.03578  40.04 0.17084  0.02326
  42.75 0.18464  0.02305  45.32 0.18057  0.02077  47.79 0.14809  0.01666
  50.16 0.16683  0.01733  52.46 0.15621  0.01580  54.68 0.17942  0.01748
  56.85 0.21567  0.02000  58.96 0.19968  0.01841  61.03 0.22650  0.02042
  63.06 0.21176  0.01908  65.05 0.17800  0.01630  67.01 0.16505  0.01516
  68.94 0.13479  0.01260  70.84 0.12093  0.01153  72.73 0.11220  0.01090
  74.60 0.08040  0.00852  76.44 0.06052  0.00728  78.28 0.05071  0.00691
 2775.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.39344  0.03145  37.17 0.27390  0.02189  40.04 0.14770  0.01181
  42.75 0.18915  0.01512  45.32 0.19104  0.01527  47.79 0.17913  0.01432
  50.16 0.16845  0.01347  52.46 0.14797  0.01183  54.68 0.16592  0.01326
  56.85 0.22071  0.01764  58.96 0.21514  0.01720  61.03 0.23510  0.01879
  63.06 0.21736  0.01737  65.05 0.17858  0.01427  67.01 0.16522  0.01321
  68.94 0.14691  0.01174  70.84 0.12448  0.00995  72.73 0.11548  0.00923
  74.60 0.08878  0.00710  76.44 0.06861  0.00548  78.28 0.04546  0.00363
 2825.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.32644  0.02625  37.17 0.23417  0.01883  40.04 0.14269  0.01147
  42.75 0.14162  0.01139  45.32 0.14291  0.01149  47.79 0.15121  0.01216
  50.16 0.13517  0.01087  52.46 0.13418  0.01079  54.68 0.15118  0.01216
  56.85 0.18124  0.01457  58.96 0.19072  0.01534  61.03 0.18794  0.01511
  63.06 0.20166  0.01622  65.05 0.17123  0.01377  67.01 0.13292  0.01069
  68.94 0.12503  0.01005  70.84 0.10606  0.00853  72.73 0.08408  0.00676
  74.60 0.06048  0.00486  76.44 0.04556  0.00366  78.28 0.03776  0.00304
 2875.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.25935  0.02098  37.17 0.27534  0.02227  40.04 0.12666  0.01025
  42.75 0.15459  0.01251  45.32 0.15256  0.01234  47.79 0.17059  0.01380
  50.16 0.11884  0.00961  52.46 0.13578  0.01098  54.68 0.14085  0.01139
  56.85 0.17994  0.01456  58.96 0.18283  0.01479  61.03 0.18263  0.01477
  63.06 0.17173  0.01389  65.05 0.15098  0.01221  67.01 0.11361  0.00919
  68.94 0.12153  0.00983  70.85 0.10974  0.00888  72.73 0.08266  0.00669
  74.60 0.05595  0.00453  76.44 0.04953  0.00401  78.28 0.02919  0.00236
 2925.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.25526  0.02077  37.17 0.28082  0.02285  40.04 0.16678  0.01357
  42.75 0.12769  0.01039  45.32 0.15572  0.01267  47.79 0.13397  0.01090
  50.16 0.10484  0.00853  52.46 0.11972  0.00974  54.68 0.14337  0.01167
  56.85 0.16487  0.01342  58.96 0.18142  0.01476  61.03 0.17582  0.01431
  63.06 0.16624  0.01353  65.05 0.14153  0.01152  67.01 0.11895  0.00968
  68.94 0.09522  0.00775  70.85 0.09633  0.00784  72.73 0.07044  0.00573
  74.60 0.05016  0.00408  76.44 0.03956  0.00322  78.28 0.02953  0.00240
 2975.000  22  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.17189  0.01407  37.17 0.20786  0.01702  40.04 0.16347  0.01338
  42.75 0.14447  0.01183  45.32 0.16064  0.01315  47.79 0.15671  0.01283
  50.16 0.13067  0.01070  52.46 0.13365  0.01094  54.68 0.17711  0.01450
  56.85 0.20191  0.01653  58.96 0.20228  0.01656  61.03 0.20090  0.01645
  63.06 0.17298  0.01416  65.05 0.14052  0.01150  67.01 0.12261  0.01004
  68.94 0.11662  0.00955  70.84 0.09326  0.00764  72.73 0.07205  0.00590
  74.60 0.05300  0.00434  76.44 0.04002  0.00328  78.28 0.02838  0.00232
  80.10 0.01893  0.00155   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 3175.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.08239  0.00691  37.17 0.13714  0.01150  40.04 0.16825  0.01411
  42.75 0.13570  0.01138  45.32 0.15404  0.01292  47.79 0.09660  0.00810
  50.16 0.11024  0.00924  52.46 0.14909  0.01250  54.68 0.16219  0.01360
  56.85 0.16478  0.01382  58.96 0.17679  0.01482  61.03 0.13428  0.01126
  63.06 0.12043  0.01010  65.05 0.10010  0.00839  67.01 0.09962  0.00835
  68.94 0.08243  0.00691  70.85 0.06602  0.00554  72.73 0.05007  0.00420
  74.60 0.03311  0.00278  76.44 0.02192  0.00184  78.28 0.01751  0.00147
 3225.000  22  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.12517  0.01056  37.17 0.09840  0.00830  40.04 0.15251  0.01286
  42.76 0.15671  0.01322  45.32 0.14756  0.01245  47.79 0.10897  0.00919
  50.16 0.10006  0.00844  52.46 0.10579  0.00892  54.68 0.14443  0.01218
  56.85 0.14894  0.01256  58.96 0.13985  0.01180  61.03 0.11406  0.00962
  63.06 0.10375  0.00875  65.05 0.07037  0.00594  67.01 0.07771  0.00656
  68.94 0.06458  0.00545  70.84 0.03822  0.00322  72.73 0.03253  0.00274
  74.60 0.02379  0.00201  76.44 0.01605  0.00135  78.28 0.00929  0.00078
  80.10 0.01198  0.00101   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 3275.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.08154  0.00692  37.17 0.10387  0.00881  40.04 0.14054  0.01193
  42.75 0.11143  0.00946  45.32 0.12110  0.01028  47.79 0.11065  0.00939
  50.16 0.09074  0.00770  52.46 0.11654  0.00989  54.68 0.15608  0.01324
  56.85 0.12836  0.01089  58.96 0.11580  0.00983  61.03 0.10637  0.00903
  63.06 0.08910  0.00756  65.05 0.07945  0.00674  67.01 0.06593  0.00559
  68.94 0.05422  0.00460  70.84 0.03998  0.00339  72.73 0.02385  0.00202
  74.60 0.01721  0.00146  76.44 0.01187  0.00101  78.28 0.01088  0.00092
 3325.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.17882  0.01526  37.17 0.14878  0.01270  40.04 0.15814  0.01350
  42.75 0.14769  0.01261  45.32 0.15521  0.01325  47.79 0.09776  0.00835
  50.16 0.09510  0.00812  52.46 0.14053  0.01200  54.68 0.15510  0.01324
  56.85 0.14679  0.01253  58.96 0.13906  0.01187  61.03 0.11731  0.01001
  63.06 0.09037  0.00771  65.05 0.07489  0.00639  67.01 0.06163  0.00526
  68.94 0.04932  0.00421  70.85 0.04271  0.00365  72.73 0.03033  0.00259
  74.60 0.02165  0.00185  76.44 0.01266  0.00108  78.28 0.00956  0.00082
 3375.000  22  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.08952  0.00769  37.17 0.12904  0.01108  40.04 0.15713  0.01349
  42.75 0.15791  0.01356  45.32 0.14524  0.01247  47.79 0.10028  0.00861
  50.16 0.11198  0.00962  52.46 0.14281  0.01226  54.68 0.13821  0.01187
  56.85 0.13574  0.01166  58.96 0.10624  0.00912  61.03 0.10424  0.00895
  63.06 0.07438  0.00639  65.05 0.06375  0.00548  67.01 0.05903  0.00507
  68.94 0.04673  0.0040   70.85 0.02558  0.00220  72.73 0.02185  0.00188
  74.60 0.01435  0.00123  76.44 0.00930  0.00080  78.28 0.00709  0.00061
  80.10 0.00467  0.00040   0.00 0.00000  0.00000  0.00 0.00000  0.00000
 3425.000  22  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
 KUNKEL, PC 06-19-14, G12
  34.09 0.07386  0.00638  37.17 0.09962  0.00861  40.04 0.10482  0.00906
  42.75 0.14404  0.01244  45.32 0.11017  0.00952  47.79 0.09711  0.00839
  50.16 0.09172  0.00792  52.46 0.12721  0.01099  54.68 0.11816  0.01021
  56.85 0.11419  0.00986  58.96 0.10561  0.00912  61.03 0.08111  0.00701
  63.06 0.05681  0.00491  65.05 0.04464  0.00386  67.01 0.03583  0.00310
  68.94 0.03470  0.00300  70.84 0.02000  0.00173  72.73 0.01968  0.00170
  74.60 0.01320  0.00114  76.44 0.00339  0.00029  78.28 0.00288  0.00025
  80.10 0.00393  0.00034   0.00 0.00000  0.00000   0.00 0.00000  0.00000
 3475.000  21  0.020   1.00   0.00   1.00 PI0  DSG  KU(14)P  JLAB PRL
